code,title
S9422,Electronic (except Domestic Appliance) and Precision Equipment Repair
S9429,Other Machinery and Equipment Repair and Maintenance
S9491,Clothing and Footwear Repair
S9499,Other Repair and Maintenance n.e.c.
S9511,Hairdressing and Beauty Services
S9512,Diet and Weight Reduction Centre Operation
S9520,"Funeral, Crematorium and Cemetery Services"
S9531,Laundry and Dry-Cleaning Services
S9532,Photographic Film Processing
S9533,Parking Services
S9534,Brothel Keeping and Prostitution Services
S9539,Other Personal Services n.e.c.
S9540,Religious Services
S9551,Business and Professional Association Services
S9552,Labour Association Services
S9559,Other Interest Group Services n.e.c.
S9601,Private Households Employing Staff
S9602,Undifferentiated Goods-Producing Activities of Private Households for Own Use
S9603,Undifferentiated Service-Producing Activities of Private Households for Own Use
